Titre en anglais,Titre en Japonais,Editeurs,Numéro de série,Date,Main Category,Sub Category
Mazinger Z,マジンガーZ,バンダイ / ウィンキーソフト / Bandai / winkysoft,SHVC-JZ,1993-06-25,Beat 'em All,
Mega Lo Mania - Jikuu Dai Senrya Ku,メガロマニア 〜時空大戦略〜,イマジニア / Imagineer / Sensible Software,SHVC-MZ,1993-07-23,Strategy,
Melfand Stories,メルファンドストーリーズ,アスキー / ASCII,SHVC-YZ,1994-03-25,Beat 'em All,
Metal Max 2,メタルマックス2,データイースト / クレアテック / Data East / Crea-Tech,SHVC-MX,1993-03-05,RPG,
Metal Max Returns,メタルマックスリターンズ,"データイースト / クレアテック, 空想科学 / Data East / Crea Tech, Kuusoukagaku",SHVC-AZMJ-JPN,1995-09-29,RPG,
Metal Slader Glory - Director's Cut (Special),メタルスレイダーグローリー ディレクターズカット プリライト版,任天堂 / ハル研究所 / Nintendo / HAL Laboratory,SHVC-BMSJ-JPN,2000-11-29,Visual Novel,
Michael Andretti's Indy Car Challenge,マイケル・アンドレッティー インディカーチャレンジ,ビー・ピー・エス / 元気 / Bullet-Proof Software / Genki,SHVC-AMAJ-JPN / SNS-AMAE-USA,1995-01-20 / 1994-01-01,Racing,Formule 1
Mickey & Donald - Magical Adventure 3,ミッキーとドナルド マジカルアドベンチャー3,カプコン / Capcom,SHVC-AM3J-JPN,1995-12-08,Platformer,
Mickey & Minnie Magical Adventure 2 - The Great Circus Mystery,ミッキーとミニー マジカルアドベンチャー2,カプコン / Capcom,SHVC-4C,1994-11-11,Platformer,
Mickey Mania - The Timeless Adventures of Mickey Mouse,ミッキーマニア,カプコン / ソニーイメージソフト / トラベラーズテール / Capcom / Sony Imagesoft / Travellers Tales,SHVC-AMIJ-JPN / SNS-AMIE-USA,1995-03-31,Platformer,
Mickey no Magical Adventure,ミッキーのマジカルアドベンチャー,カプコン / Capcom,SHVC-MI,1992-11-20,Platformer,
Mickey no Tokyo Disneyland Daibouken,ミッキーの東京ディズニーランド 大冒険,トミー / Tomy,SHVC-ZJ,1994-12-16,Platformer,
Might and Magic - Book 2,マイト＆マジック BOOK 2,ロジーク（ジー・アミューズメンツ） / LOZC G. Amusements / New World Computing / Starcraft,SHVC-MV,1993-01-22,RPG,First Person
Mighty Morphin Power Rangers,マイティーモーフィン パワーレンジャー,バンダイ / Bandai,SHVC-52 / SNS-52,1995-11-24 / 1994-10-10,Beat 'em All,
Milandra,ミランドラ,"アスキー / トムキャットシステム / ASCII / Tomcat System, Crea-Tech",SHVC-AQ9J-JPN,1997-01-31,RPG,
Militia,ミリティア,ナムコ / Namcot,SHVC-NG,1994-11-18,Strategy,
Mini Shiku Shining Scorpion - Ready & Go!!,ミニ四駆 シャイニング スコーピオン レッツ＆ゴー！！ / 限定版,アスキー / ASCII,SHVC-A4WJ-JPN,1996-12-20,Racing,Simulation
Mini Yonku Let's & Go!! - Power WGP 2,ミニ四駆 レッツ＆ゴー！！ POWER WGP2,任天堂 / ジュピター / Nintendo / Jupiter,SHVC-BM4J-JPN,1998-10-01,RPG,
Miracle Casino Paradise,みらくるカジノパラダイス,カロッツェリアジャパン / エインシャント / Carrozzeria Japan / Ancient,SHVC-ACPJ-JPN,1995-01-27,Gambling,Casino
Miracle Girls - Tomomi to mi Kage no Fushigi Sekai no Dai Bouken,ミラクルガールズ ともみとみかげの不思議世界の大冒険,タカラ / Takara,SHVC-QP,1993-10-22,Platformer,Action
Miyaji Shachou no Pachinko Fan - Shouri Sengen 2,宮路社長のパチンコファン勝利宣言2,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-AFAJ-JPN,1995-04-21,Gambling,Pachinko
Mizuki Shigeru no Youkai Hyakkiyakou,水木しげるの妖怪百鬼夜行,日本ソフトシステム / ケイエスエス / Nihon Soft System / KSS,SHVC-AYHJ-JPN,1995-12-20,Table Game,
Momotarou Dentetsu Happy,桃太郎電鉄 ハッピー,ハドソン / Hudson,SHVC-AH8J-JPN,1996-12-06,Table Game,
Monopoly,モノポリー,トミー / ハスブロー / Tomy / Hasbro,SHVC-ML / SNS-ML,1993-03-05 / 1992-09-01,Table Game,
Monopoly Game 2,ザ・モノポリーゲーム2,"トミー / エイプ, トムキャットシステム / トンカ / Tomy / APE, Tomcat System / Tonka",SHVC-AMLJ-JPN,1995-03-31,Table Game,
Monstania,モンスタニア,"パック・イン・ビデオ / アムカス, ビッツラボラトリー / Pack-in-Video / Amccus, Bits Laboratory",SHVC-AMKJ-JPN,1996-09-27,RPG,Action
Monster Maker 3 - Hikari no Majyutsushi,モンスターメーカー3 光の魔術士,ソフエル / Sofel,SHVC-3M,1993-12-24,RPG,
Monster Maker Kids - Ousama ni Naritai,モンスターメーカーキッズ 王様になりたい,ソフエル / Sofel,SHVC-AK2J-JPN,1994-11-18,Table Game,
Mortal Kombat - Shinken Kourin Densetsu,モータルコンバット 神拳降臨伝説,アクレイムジャパン / Acclaim Japan / Sculptured Software / Midway,SHVC-KX / SNS-KX,1993-12-24 / 1993-09-13,Fighting,Versus
Mortal Kombat 2 - Kyuukyoku Shinken,モータルコンバットII 究極神拳,アクレイムジャパン / Acclaim Japan / Sculptured Software / Midway,SHVC-28 / SNS-28,1994-11-11 / 1994-01-01,Fighting,Versus
Mother 2 - Gyiyg no Gyakushuu,マザー2 ギーグの逆襲,"任天堂 / エイプ, ハル研究所 / Nintendo / APE Studios, HAL Laboratory",SHVC-MB / SNS-MB-USA,1994-08-27 / 1995-06-01,RPG,
Motoko Chan no Wonder Kitchen,もと子ちゃんのワンダーキッチン,味の素株式会社 / Ajinomoto Co. / Rocket Games,SHVC-WK,1993-09-01,Simulation,Cooking
Motteke Oh! Dorobou,もってけoh ! ドロボー,データイースト / Data East,SHVC-AOEJ-JPN,1995-12-15,Table Game,
Mouryou Senki Madara 2,魍魎戦記MADARA2,コナミ / Konami,SHVC-M2,1993-07-16,RPG,
Mr. Do!,ミスタードゥ,イマジニア / Imagineer / Universal,SHVC-AUNJ-JPN / SNS-AUNE-USA,1995-06-23 / 1995-01-01,Puzzle,Action
Mr. Nutz,ミスターナッツ,ソフエル / Sofel / Ocean,SHVC-ANUJ-JPN / SNS-N8,1994-10-07 / 1994-01-01,Platformer,
Mujintou Monogatari,無人島物語,"日本ソフトシステム, ケイエスエス / メディアミューズ, オープンセサミ / Nihon Soft System, KSS / Media Muse, Open Sesame",SHVC-AK6J-JPN,1996-01-26,Simulation,Survival
Multi-Play Volleyball,マルチプレイバレーボール,パック・イン・ビデオ / Pack-in-Video,SHVC-A3VJ-JPN,1994-10-28,Sports,Volleyball
Muscle Bomber - The Body Explosion,マッスルボマー ザ・ボディー・エクスプロージョン,カプコン / Capcom,SHVC-ZW,1994-03-30,Sports,Wrestling
Mystery Circle,ミステリーサークル,ケイ・アミューズメントリース / K. Amusement Leasing Co.,SHVC-MC,1992-12-04,Puzzle,
Mystic Ark,ミスティック・アーク,"エニックス / プロデュース, ミント / Enix / Produce!, Mint",SHVC-AEAJ-JPN,1995-07-14,RPG,
Nage Libre - Seijaku no Suishin,ナージュリーブル 〜静寂の水深〜,バリエ / Varie,SHVC-ANSJ-JPN,1995-02-24,RPG,
Nakajima Satoru Kanshuu F-1 Hero '94,中嶋 悟 監修 F-1ヒーロー94,バリエ / Varie,SHVC-I5,1994-09-22,Racing,Formule 1
Nakajima Satoru Super F-1 Hero,スーパーF-1ヒーロー 中嶋悟監修,バリエ / Varie,SHVC-S4,1992-12-18,Racing,Formule 1
Nakano Kouichi Kanshuu - Keirin Ou,中野 浩一監修 競輪王,ココナッツ・ジャパン / Coconuts Japan,SHVC-OU,1994-11-18,Racing,Moto
Namco Open,ナムコットオープン,ナムコ / ナムコット / Namco / Namcot,SHVC-NO,1993-01-29,Sports,Golf
Nangoku Shounen Papuwa-kun,南国少年パプワくん,エニックス / ダフト / Enix / DAFT,SHVC-N7,1994-03-25,Platformer,
Naruhodo! The World,なるほど！ザ・ワールド,トミー / Tomy,SHVC-QV,1994-11-25,Quiz,
Natsuki Crisis Battle,なつきクライシスバトル,"エンジェル, 集英社 / Angel, Shueisha",SHVC-ACBJ-JPN,1995-04-21,Fighting,Versus
Naxat Super Pinball - Jaki Hakai,ナグザット スーパーピンボール 邪鬼破壊,ナグザット / Naxat Soft,SHVC-JH,1992-12-18,Pinball,
NBA All-Star Challenge,NBAオールスターチャレンジ,"アクレイムジャパン / Acclaim Japan / Ljn, Beam Software",SHVC-NB / SNS-NB,1993-05-21 / 1993-01-01,Sports,Basketball
NBA Jam,NBAジャム,アクレイムジャパン / Acclaim Japan / Iguana Entertainment / Midway,SHVC-8N / SNS-8N,1994-04-29 / 1994-03-01,Sports,Basketball
NBA Jam Tournament Edition,NBA ジャム トーナメントエディション,アクレイムジャパン / Acclaim Japan / Iguana Entertainment / Midway,SHVC-AJTJ-JPN / SNS-AJTE-USA,1995-02-24 / 1995-02-23,Sports,Basketball
NBA Jikkyou Basket - Winning Dunk,NBA実況バスケット ウイニングダンク,コナミ / Konami,SHVC-ANJJ-JPN / SNS-ANJE-USA,1995-09-29,Sports,Basketball
NBA Live '95,NBA Live '95,エレクトロニック・アーツ・ビクター / Electronic Arts Victor / Hitmen Productions,SHVC-ANBJ-JPN / SNS-ANBE-USA,1994-12-16 / 1994-01-01,Sports,Basketball
NBA Pro Basketball - Bulls vs. Blazers,NBAプロバスケットボール ブルズVSブレイザーズ,エレクトロニック・アーツ・ビクター / Electronic Arts Victor,SHVC-BU,1993-02-26,Sports,Basketball
NBA Pro Basketball '94 - Bulls vs. Suns,NBAプロバスケットボール'94 ブルズVSサンズ,エレクトロニック・アーツ・ビクター / Electronic Arts Victor,SHVC-6N,1993-12-03,Sports,Basketball
Nekketsu Tairiku Burning Heroes,熱血大陸 バーニング ヒーローズ,エニックス / ジェイフォース / Enix / J-Force,SHVC-AEBJ-JPN,1995-03-17,RPG,
Neugier - Umi to Kaze no Koudou,ノイギーア 〜海と風の鼓動〜,ウルフチーム（日本テレネット） / Wolfteam (Telenet Japan),SHVC-W3,1993-03-26,RPG,Action
New 3D Golf Simulation - Devil's Course - 3D Golf Simulation,デビルズコース,ティーアンドイーソフト / T&E Soft,SHVC-GT,1993-03-05,Sports,Golf
New 3D Golf Simulation - Pebble Beach no Hatou,ペブルビーチの波濤,ティーアンドイーソフト / T&E Soft,SHVC-GB,1992-04-10,Sports,Golf
New 3D Golf Simulation - Waialae no Kiseki,ワイアラエの奇蹟,ティーアンドイーソフト / T&E Soft,SHVC-GC,1992-09-18,Sports,Golf
New Yatterman - Nan Dai Kan Dai Yajirobee,タイム･ボカンシリーズ NEWヤッターマン 難題かんだいヤジロベエ,ユタカ / トムクリエイト / Yutaka / Tom Create,SHVC-A4YJ-JPN,1996-03-22,Fighting,Versus
Newman-Haas Indy Car Featuring Nigel Mansell,ナイジェルマンセル・インディカー,アクレイムジャパン / Acclaim Japan / Gremlin Graphics Software,SHVC-ANMJ-JPN / SNS-ANME-USA,1994-12-16,Racing,Formule 1
NFL Football,NFLフットボール,"コナミ / コナミ エンタテイメント / Konami / Konami Entertainment, Park Place Prodictions",SHVC-NF / SNS-NF,1993-09-17 / 1993-01-01,Sports,Football
NFL Football,NFLフットボール,"コナミ / コナミ エンタテイメント / Konami / Konami Entertainment, Park Place Prodictions",SHVC-NF / SNS-NF,1993-09-17 / 1993-01-01,Sports,Football
NFL Quarterback Club '95,クォーターバッククラブ'95,"アクレイムジャパン / Acclaim Japan / Ljn, Iguana Entertainment",SHVC-Q9 / SNS-Q9,1995-02-24,Sports,Football
NFL Quarterback Club '96,NFLクォーターバッククラブ'96,"アクレイムジャパン / Acclaim Japan / Ljn, Iguana Entertainment",SHVC-AQBJ-JPN / SNS-AQBE-USA,1996-03-01 / 1995-01-01,Sports,Football
NHL Pro Hockey '94,NHLプロホッケー'94,エレクトロニック・アーツ・ビクター / Electronic Arts Victor,SHVC-4H,1994-04-08,Sports,Hockey
Nice de Shot World Course Selections,ナイスDEショット,アスク講談社 / 魔法株式会社 / Ask Kodansha / Magical Company,SHVC-NN,1994-04-29,Sports,Golf
Nichibutsu Arcade Classics,ニチブツ アーケード クラシックス,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AACJ-JPN,1995-05-26,Arcade,Retro
Nichibutsu Arcade Classics 2 - Heiankyo Alien,ニチブツアーケードクラシックス2 平安京エイリアン,日本物産（ニチブツ） / 日本シスコン / Nihon Bussan (Nichibutsu) / Nihon Syscom,SHVC-AAEJ-JPN,1995-12-15,Arcade,Retro
Nichibutsu Collection 1,"ニチブツコレクション1 攻略カジノバー, 祗園花",日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AECJ-JPN,1996-11-29,Table Game,Cards
Nichibutsu Collection 2,ニチブツコレクション2 麻雀繁盛記 五目・将棋—定跡研究篇—,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-A2BJ-JPN,1996-12-27,Table Game,
Nigel Mansell's F1 Challenge,ナイジェル・マンセルF1チャレンジ,インフォコムシステムズ / infocom / Gremlin Graphics Software,SHVC-NC,1993-03-19,Racing,Formule 1
Ninja Ryukenden Tomoe,忍者龍剣伝 巴,テクモ / Tecmo,SHVC-ANRJ-JPN / SNS-ANRE-USA,1995-08-11,Platformer,
Nintama Rantarou,忍たま乱太郎,カルチャーブレーン / Culture Brain,SHVC-ANTJ-JPN,1995-07-28,Platformer,
Nintama Rantarou 2,忍たま乱太郎2,カルチャーブレーン / Culture Brain,SHVC-A2NJ-JPN,1996-03-29,Platformer,
Nintama Rantarou 3,忍たま乱太郎3,カルチャーブレーン / Culture Brain,SHVC-AEXJ-JPN,1997-02-28,Platformer,
Nintama Rantarou Puzzle: Ninjutsu Gakuen Puzzle no Maki,パズル忍たま乱太郎 〜忍術学園パズル大会の段〜,カルチャーブレーン / Culture Brain,SHVC-ANVJ-JPN,1996-06-28,Puzzle,Matching
Nintama Rantarou Special,忍たま乱太郎すぺしゃる,カルチャーブレーン / Culture Brain,SHVC-ANXJ-JPN,1996-08-09,Aventure,
Nishijin Pachinko Monogatari,西陣パチンコ物語,"日本ソフトシステム, ケイエスエス / Nihon Soft System, KSS",SHVC-ANPJ-JPN,1995-06-23,Gambling,Pachinko
Nishijin Pachinko Monogatari 2,西陣パチンコ物語2,"日本ソフトシステム, ケイエスエス / Nihon Soft System, KSS",SHVC-AN5J-JPN,1996-06-28,Gambling,Pachinko
Nishijin Pachinko Monogatari 3,西陣パチンコ3,日本ソフトシステム / ケイエスエス / Nihon Soft System / KSS,SHVC-AI3J-JPN,1996-12-20,Gambling,Pachinko
Nitro Punks - Might Heads,ニトロパンクス マイトヘッズ,アイレム / IREM,SHVC-NP,1993-07-30,Platformer,
Nobuhiro Takeda no Super Cup Soccer,武田修宏のスーパーカップサッカー,ジャレコ / Jaleco,SHVC-JV,1993-11-26,Sports,Soccer
Nobunaga Kou Ki,信長公記,やのまん / 天下布武 ビットタウン / Yanoman / Bit Town,SHVC-NT,1993-01-29,Strategy,
Nobunaga no Yabou - Haouden,信長の野望 覇王伝,光栄 / Koei,SHVC-NK,1993-12-09,Strategy,
Nobunaga no Yabou - Tenshouki,信長の野望 天翔記,光栄 / Koei,SHVC-AN6J-JPN,1996-01-26,Strategy,
Nomark Baku Haitou - Shijou Saikyou no Jakushi Tatsu,ノーマーク爆牌党 史上最強の雀士達,エンジェル / Angel,SHVC-AAPJ-JPN,1995-09-29,Table Game,Mahjong
Nontan to Issho: Kuru Kuru Puzzle,ノンタンといっしょ くるくるぱずる,ビクターエンタテインメント / Victor Entertainment,SHVC-99,1994-11-25,Puzzle,Matching
Nosferatu,ノスフェラトゥ,セタ / Seta,SHVC-NS / SNS-NS,1994-10-07 / 1995-10-01,Platformer,
Numbers Paradise,ナンバーズパラダイス,"アクレイムジャパン / イスコ, デジタルウェア / Acclaim Japan / ISCO, Digital Weare",SHVC-AN7J-JPN,1996-08-30,Gambling,
Oda Nobunaga - Haou no Gundan,織田信長 覇王の軍団,エンジェル / Angel,SHVC-ON,1993-02-26,Strategy,
Odekake Lester - Lelele no Le (^^; - Lester the Unlikely,おでかけレスターれれれのれ(^^;,アスミック / Asmik,SHVC-07 / SNS-LY,1994-09-16,Aventure,
Oekaki Logic,お絵かきロジック,世界文化社 / マリーガルマネジメント / Sekai Bunka Publishing / Marigul Management,SHVC-BORJ-JPN,1999-06-01,Puzzle,Picross
Oekaki Logic 2,お絵かきロジック2,世界文化社 / マリーガルマネジメント / Sekai Bunka Publishing / Marigul Management,SHVC-BOSJ-JPN,1999-11-01,Puzzle,Picross
Ohmono Black Bass Fishing - Jinzouko Hen,大物ブラックバスフィッシング 人造湖編,アクレイムジャパン / ナツメ / Acclaim Japan / Natsume,SHVC-AOAJ-JPN / SNS-AOAE-USA,1995-06-30,Sports,Pêche
Okamoto Ayako to Match Play Golf - Ko Olina Golf Club In Hawaii,岡本綾子とマッチプレイゴルフ コ・オリナゴルフクラブ in ハワイ,ツクダオリジナル / Tsukuda Original,SHVC-OG,1994-12-21,Sports,Golf
Olivia's Mystery,オリビアのミステリー,アルトロン / Altron,SHVC-ZY,1994-02-04,Puzzle,
Ongaku Tsukuru Kanadeeru,音楽ツクールかなでーる,アスキー / サクセス / ASCII / Success,SHVC-ZMCJ-JPN,1996-04-12,Art,Musique
Onita Atsushi FMW,大仁田厚 FMW,ポニーキャニオン / Pony Canyon,SHVC-OA-(R98V5946),1993-08-06,Sports,Wrestling
Onizuka Katsuya Super Virtual Boxing,鬼塚勝也スーパーヴァーチャルボクシング 〜真拳闘王伝説〜,ソフエル / Sofel,SHVC-OV,1993-11-26,Sports,Boxing
Oraga Land Shusai: Best Farmer Shuukaku Sai,おらがランド主催 ベストファーマー収穫祭,ビック東海 / Vic Tokai / Nitto,SHVC-ACUJ-JPN,1995-03-17,Puzzle,
Ossu!! Karate-bu,押忍！！空手部,カルチャーブレーン / Culture Brain,SHVC-OJ,1994-08-26,Fighting,Versus
Othello World,オセロワールド,ツクダオリジナル / ダイス / Tsukuda Original / Dice,SHVC-TO,1992-04-05,Table Game,Othello
Otoboke Ninja Colosseum,おとぼけ忍者コロシアム,インテック / ミント / Intec / Mint,SHVC-AOCJ-JPN,1995-02-25,Puzzle,Bomberman
Otogirisou,弟切草,チュンソフト / Chun Soft,SHVC-OT,1992-03-07,Sound Novel,Horror
Ouchan no Oekaki Logic,おーちゃんのお絵かきロジック,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-AOUJ-JPN,1995-12-01,Puzzle,Picross
Outer World (Another World),アウター・ワールド,"ビクター音楽産業 / Victor Musical Industries / Interplay, Delphine Software",SHVC-TW,1992-11-27,Aventure,
P-Man,P・マン,ケムコ（コトブキシステム） / Kemco / Titus,SHVC-APUJ-JPN / SNS-APUE-USA,1995-06-23,Platformer,
Pac-In-Time,パックインタイム,ナムコ / Namcot,SHVC-APTJ-JPN / SNS-APTE-USA,1995-01-03 / 1995-01-01,Platformer,
Pachi Slot Kenkyuu,パチスロ研究,魔法株式会社（魔法ソフト） / Magical Company,SHVC-77,1994-07-15,Gambling,Pachinko
Pachi Slot Shoubushi,ギャンブラー パチスロ勝負師,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AGAJ-JPN,1994-12-23,Gambling,Pachinko
Pachi-Slot Kanzen Kouryaku - Universal Shindai Nyuuka Volume 1,パチスロ完全攻略 ユニバーサル新台入荷 Volume 1,日本シスコン / Nihon Syscom,SHVC-AUYJ-JPN,1997-03-07,Gambling,Pachinko
Pachi-Slot Land - Pachi Pachi Coin no Densetsu,パチスロランド ぱちぱちコインの伝説,カロッツェリアジャパン / Carrozzeria Japan,SHVC-7P,1994-02-25,Gambling,Pachinko
Pachi-Slot Love Story,ラブストーリー パチスロ,ココナッツ・ジャパン / Coconuts Japan,SHVC-P5,1993-11-19,Gambling,Pachinko
Pachi-Slot Monogatari - PAL Kougyou Special,パチスロ物語 パル工業スペシャル,"日本ソフトシステム, ケイエスエス / Nihon Soft System, KSS",SHVC-A2WJ-JPN,1995-10-27,Gambling,Pachinko
Pachi-Slot Monogatari - Universal Special,パチスロ物語 ユニバーサル・スペシャル,ケイエスエス / KSS,SHVC-9K,1994-07-29,Gambling,Pachinko
Pachinko Challenger,パチンコチャレンジャーV,カロッツェリアジャパン / Carrozzeria Japan,SHVC-APVJ-JPN,1995-07-07,Gambling,Pachinko
Pachinko Fan - Shouri Sengen,パチンコファン 勝利宣言,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-APSJ-JPN,1994-10-15,Gambling,Pachinko
Pachinko Maruhi Hisshouhou,パチンコ○秘必勝法,"バップ, パチンコ○秘情報編集部 / VAP (NTV)",SHVC-APKJ-JPN,1994-11-18,Gambling,Pachinko
Pachinko Monogatari - Pachi-Slot mo Aru deyo!!,パチンコ物語 パチスロもあるでよ！！,ケイエスエス / KSS,SHVC-KS,1993-05-28,Gambling,Pachinko
Pachinko Monogatari 2 - Nagoya Shachihoko no Teiou,パチンコ物語2 名古屋シャチホコの帝王,ケイエスエス / KSS,SHVC-A2PJ-JPN,1995-01-27,Gambling,Pachinko
Pachinko Renchan Tengoku - Super CR Special,パチンコ 連チャン天国 スーパーCRスペシャル,"バップ, パチンコ○秘情報編集部 / VAP (NTV)",SHVC-ALCJ-JPN,1995-05-26,Gambling,Pachinko
Pachinko Tetsujin - Nanaban Shoubu,,,,,Pachinko,
Pachinko Wars,パチンコウォーズ,ココナッツ・ジャパン / エルステッド / Coconuts Japan / Orested,SHVC-PC,1992-07-17,Gambling,Pachinko
Pachinko Wars II,パチンコウォーズII,ココナッツジャパン / エルステッド / Coconuts Japan / Orested,SHVC-P6,1993-12-17,Gambling,Pachinko
Pachiokun Special,スペシャル パチ夫くんSPECIAL,ココナッツ・ジャパン / Coconuts Japan,SHVC-PA,1992-12-11,Gambling,Pachinko
Pachiokun Special 2,パチ夫くん スペシャル2,ココナッツ・ジャパン / Coconuts Japan,SHVC-OC,1994-05-20,Gambling,Pachinko
Pachiokun Special 3,パチ夫くん スペシャル3,ココナッツジャパン エンターテイメント / Coconuts Japan Entertainment,SHVC-AP3J-JPN,1995-12-01,Gambling,Pachinko
Panel de Pon,パネルでポン,任天堂 / インテリジェントシステムズ / Nintendo / Intelligent Systems,SHVC-AYLJ-JPN,1995-10-27,Puzzle,Matching
Panic in Nakayoshi World,パニック イン なかよしワールド,バンダイ / トムクリエイト / Bandai / Tom Create,SHVC-ANAJ-JPN,1994-11-18,Puzzle,Action
Parlor! Mini - Pachinko Jikki Simulation,パーラー！ミニ Parlor! Mini パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AQAJ-JPN,1996-04-26,Gambling,Pachinko
Parlor! Mini 2 - Pachinko Jikki Simulation,パーラー！ミニ2 Parlor ! Mini 2 パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AQCJ-JPN,1996-06-28,Gambling,Pachinko
Parlor! Mini 3 - Pachinko Jikki Simulation,パーラー！ミニ3 Parlor ! Mini 3 パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AQVJ-JPN,1996-09-27,Gambling,Pachinko
Parlor! Mini 4 - Pachinko Jikki Simulation,パーラー！ミニ4 Parlor ! Mini 4 パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan / Irem / Kyoraku,SHVC-AQXJ-JPN,1996-11-29,Gambling,Pachinko
Parlor! Mini 5 - Pachinko Jikki Simulation,パーラー！ミニ5 パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AQYJ-JPN,1997-03-28,Gambling,Pachinko
Parlor! Mini 6 - Pachinko Jikki Simulation,パーラー！ミニ6 パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AQRJ-JPN,1997-05-30,Gambling,Pachinko
Parlor! Mini 7 - Pachinko Jikki Simulation,パーラー！ミニ7 パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AQMJ-JPN,1997-08-29,Gambling,Pachinko
Parodius da! Shinwa Kara Owarai he,パロディウスだ！ −神話からお笑いへ−,コナミ / Konami,SHVC-PD,1992-07-03,SHMUP,Horizontal
Pebble Beach no Hatou Tournament Edition,ペブルビーチの波濤Ｎｅｗ～トーナメントエディション～,ティーアンドイーソフト / T&E Soft,SHVC-AONJ-JPN,1996-09-13,Sports,Golf
PGA Tour Golf,PGAツアーゴルフ,"イマジニア / エレクトロニック・アーツ / Imagineer / Electronic Arts, POLYGAMES",SHVC-PG / SNS-PG,1992-07-03 / 1993-01-01,Sports,Golf
Phalanx - The Enforce Fighter A-144,ファランクス,ケムコ（コトブキシステム） / ズーム / Kemco / Zoom,SHVC-PH / SNS-PH,1992-08-07 / 1993-10-01,SHMUP,Horizontal
Pikiinya!,ピキーニャ！,アスキー / ASCII / Crea-Tech,SHVC-A9AJ-JPN,1997-01-31,Puzzle,
Pilotwings,パイロットウイングス,任天堂 / Nintendo,SHVC-PW / SNS-PW,1990-12-21 / 1991-08-13,Simulation,Avion
Pinball Pinball,ピンボールピンボール,ココナッツ・ジャパン / スパイダーソフト / Coconuts Japan / Spidersoft,SHVC-7D,1994-08-05,Pinball,
Pink Panther In Pink Goes To Hollywood,ピンクパンサー,アルトロン / Altron,SHVC-YW / SNS-YW,1994-04-15 / 1994-01-01,Platformer,
Pinocchio,ピノキオ,"カプコン / ディズニーインタラクティブ, ヴァージンインタラクティブ エンターテインメント / Capcom / Virgin Interactive Entertainment",SHVC-ACGJ-JPN / SNS-ACGE-USA,1996-12-20 / 1996-01-01,Platformer,
Pipe Dream,パイプドリーム,ビー・ピー・エス / Bullet-Proof Software / Entertainment International UK,SHVC-PP,1992-08-07,Puzzle,
Pitfall - Maya no Daibouken,ピットフォール マヤの大冒険,ポニーキャニオン / アクティビジョン / Pony Canyon / Redline Games / Activision,SHVC-APAJ-JPN-(PCPE-00500) / SNS-APAE-USA,1995-07-14,Platformer,
Planet's Champ TG3000,プラネットチャンプTG3000,ケムコ（コトブキシステム） / Kemco / Gremlin Interactive,SHVC-A3TJ-JPN / SNS-A3TE-USA,1995-04-28,Sports,Street Racing
Plok!,プロック,アクティビジョンジャパン / Activision,SHVC-P4 / SNS-P4,1993-12-10 / 1993-09-01,Platformer,
Poi Poi Ninja World,ぽいぽい忍者ワールド,バンダイ / トムクリエイト / Bandai / Tom Create,SFT-0103-JPN,1996-06-28,Puzzle,
Poko Nyan! Henpokorin Adventure,ポコニャン！ へんぽこりんアドベンチャー,東宝 / ヴァンガード / Toho / Vanguard,SHVC-APOJ-JPN,1994-12-22,Platformer,
Pop'n TwinBee,ポップン ツインビー,コナミ / Konami,SHVC-PT,1993-03-26,SHMUP,Vertical
Popeye - Ijiwaru Majo Sea Hag no Maki,ポパイ いじわる魔女シーハッグの巻,テクノスジャパン / Technos Japan / King Features Syndicate Inc.,SHVC-XI,1994-08-12,Platformer,
Popful Mail,ぽっぷるメイル,日本ファルコム / Falcom,SHVC-IW,1994-06-10,RPG,Action
Popoitto Hebereke,ポポイっとへべれけ,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-APHJ-JPN,1995-07-28,Puzzle,
Populous,ポピュラス,イマジニア / インフィニティー / エレクトロニック・アーツ / Imagineer / Infinity / Bullfrog / Electronic Arts,SHVC-PO / SNS-PO,1990-12-16 / 1991-01-01,Strategy,
Populous 2 - Trials of the Olympian Gods,ポピュラスII,"イマジニア / インフィニティー / エレクトロニック・アーツ / Imagineer / Infinity, Bullfrog / Electronic Arts",SHVC-PL,1993-01-22,Strategy,
Power Athlete,パワーアスリート,カネコ / Kaneko,SHVC-P3,1992-11-27,Fighting,Versus
